Config,Mode,EvalMode,T1_Loop,T2_Loop,Trial,Runs,Bugs,Races,Livelocks,Clean,BugRate_Pct,FirstBugRun,FirstBugTime_ms,TotalTime_ms,AvgRunTime_ms
"Symmetric (T1=1, T2=1)",symmetric,any,1,1,1,20,6,0,0,14,30.0,4,303,1685,84
"Symmetric (T1=1, T2=1)",symmetric,any,1,1,2,20,0,0,0,20,0.0,0,N/A,2142,107
"Symmetric (T1=1, T2=1)",symmetric,any,1,1,3,20,6,0,0,14,30.0,2,152,1648,82
"Symmetric (T1=1, T2=1)",symmetric,any,1,1,4,20,8,0,0,12,40.0,2,152,1771,89
"Symmetric (T1=1, T2=1)",symmetric,any,1,1,5,20,4,0,0,16,20.0,5,506,1776,89
"Symmetric (T1=3, T2=3)",symmetric,any,3,3,1,20,7,0,0,13,35.0,1,86,868,43
"Symmetric (T1=3, T2=3)",symmetric,any,3,3,2,20,5,0,0,15,25.0,6,515,1665,83
"Symmetric (T1=3, T2=3)",symmetric,any,3,3,3,20,4,0,0,16,20.0,2,216,2163,108
"Symmetric (T1=3, T2=3)",symmetric,any,3,3,4,20,6,0,0,14,30.0,1,86,1814,91
"Symmetric (T1=3, T2=3)",symmetric,any,3,3,5,20,9,0,0,11,45.0,2,190,1967,98
"Symmetric (T1=5, T2=5)",symmetric,any,5,5,1,20,5,0,0,15,25.0,7,588,1698,85
"Symmetric (T1=5, T2=5)",symmetric,any,5,5,2,20,6,0,0,14,30.0,2,4174,9624,481
"Symmetric (T1=5, T2=5)",symmetric,any,5,5,3,20,1,0,0,19,5.0,10,1656,3054,153
"Symmetric (T1=5, T2=5)",symmetric,any,5,5,4,20,3,0,0,17,15.0,7,1084,3315,166
"Symmetric (T1=5, T2=5)",symmetric,any,5,5,5,20,8,0,0,12,40.0,3,297,1968,98
"Symmetric (T1=7, T2=7)",symmetric,any,7,7,1,20,4,0,0,16,20.0,4,374,1750,88
"Symmetric (T1=7, T2=7)",symmetric,any,7,7,2,20,3,0,0,17,15.0,2,183,2032,102
"Symmetric (T1=7, T2=7)",symmetric,any,7,7,3,20,3,0,0,17,15.0,2,331,2110,106
"Symmetric (T1=7, T2=7)",symmetric,any,7,7,4,20,5,0,0,15,25.0,4,467,1844,92
"Symmetric (T1=7, T2=7)",symmetric,any,7,7,5,20,3,0,0,17,15.0,6,636,2049,102
"Symmetric (T1=10, T2=10)",symmetric,any,10,10,1,20,6,0,0,14,30.0,4,384,2020,101
"Symmetric (T1=10, T2=10)",symmetric,any,10,10,2,20,4,0,0,16,20.0,2,215,2426,121
"Symmetric (T1=10, T2=10)",symmetric,any,10,10,3,20,5,0,0,15,25.0,3,796,5465,273
"Symmetric (T1=10, T2=10)",symmetric,any,10,10,4,20,5,0,0,15,25.0,2,433,2752,138
"Symmetric (T1=10, T2=10)",symmetric,any,10,10,5,20,6,0,0,14,30.0,2,203,2536,127
"Symmetric (T1=15, T2=15)",symmetric,any,15,15,1,20,3,0,0,17,15.0,1,90,1812,91
"Symmetric (T1=15, T2=15)",symmetric,any,15,15,2,20,5,0,0,15,25.0,2,257,2633,132
"Symmetric (T1=15, T2=15)",symmetric,any,15,15,3,20,7,0,0,13,35.0,2,256,2247,112
"Symmetric (T1=15, T2=15)",symmetric,any,15,15,4,20,8,0,0,12,40.0,1,131,2201,110
"Symmetric (T1=15, T2=15)",symmetric,any,15,15,5,20,4,0,0,16,20.0,7,859,2292,115
